provider,dataset,year,atc_level,variant,source_directory_url,source_file_url,source_filename,local_path,downloaded_at_utc,file_size_bytes,sha256
Assurance Maladie,Open Medic complementary databases,2019,ATC4,age_sex,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2019_ATC4,https://open-data-assurance-maladie.ameli.fr/medicaments/download_file.php?token=149ba81f38e02b3243f48d73318e97bb&file=Open_MEDIC_Bases_Complementaires/2019_ATC4/NB_2019_atc4_age_sexe.CSV.gz,NB_2019_atc4_age_sexe.CSV.gz,data/raw/open_medic/2019/atc4/NB_2019_atc4_age_sexe.CSV.gz,2026-08-27T12:07:41.357886+00:00,75334,febd8320f4e75e37d63609f6035890f747fd567d668d2827ef70f2c5b4dfa7f2
Assurance Maladie,Open Medic complementary databases,2019,ATC4,age_sex_region,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2019_ATC4,https://open-data-assurance-maladie.ameli.fr/medicaments/download_file.php?token=149ba81f38e02b3243f48d73318e97bb&file=Open_MEDIC_Bases_Complementaires/2019_ATC4/NB_2019_atc4_age_sexe_reg.CSV.gz,NB_2019_atc4_age_sexe_reg.CSV.gz,data/raw/open_medic/2019/atc4/NB_2019_atc4_age_sexe_reg.CSV.gz,2026-08-27T12:07:41.674760+00:00,613838,ba84d6d8c942bfc0a96660d93a27b923369027215f545eb429ced0f01174d1ef
Assurance Maladie,Open Medic complementary databases,2019,ATC4,national,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2019_ATC4,https://open-data-assurance-maladie.ameli.fr/medicaments/download_file.php?token=149ba81f38e02b3243f48d73318e97bb&file=Open_MEDIC_Bases_Complementaires/2019_ATC4/NB_2019_atc4.CSV.gz,NB_2019_atc4.CSV.gz,data/raw/open_medic/2019/atc4/NB_2019_atc4.CSV.gz,2026-08-27T12:07:41.296955+00:00,15777,74d07755e3d6ea6202da6f949c8f67946bb5d9a0b185fdcf384f142854ff5205
Assurance Maladie,Open Medic complementary databases,2019,ATC4,region,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2019_ATC4,https://open-data-assurance-maladie.ameli.fr/medicaments/download_file.php?token=149ba81f38e02b3243f48d73318e97bb&file=Open_MEDIC_Bases_Complementaires/2019_ATC4/NB_2019_atc4_reg.CSV.gz,NB_2019_atc4_reg.CSV.gz,data/raw/open_medic/2019/atc4/NB_2019_atc4_reg.CSV.gz,2026-08-27T12:07:41.446210+00:00,133417,6680faaeea9879e1a41882d772be8670c5665acaa8d08a7e0db5969c5f8c7378
Assurance Maladie,Open Medic complementary databases,2019,ATC5,national,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2019_ATC5,https://open-data-assurance-maladie.ameli.fr/medicaments/download_file.php?token=149ba81f38e02b3243f48d73318e97bb&file=Open_MEDIC_Bases_Complementaires/2019_ATC5/NB_2019_atc5.CSV.gz,NB_2019_atc5.CSV.gz,data/raw/open_medic/2019/atc5/NB_2019_atc5.CSV.gz,2026-08-27T12:07:41.744816+00:00,34224,037446775126d3d474f76092821d6d46e24a8aaa3aa67e94d99a1e0e27b0bfde
Assurance Maladie,Open Medic complementary databases,2020,ATC4,age_sex,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2020_ATC4,https://open-data-assurance-maladie.ameli.fr/medicaments/download_file.php?token=149ba81f38e02b3243f48d73318e97bb&file=Open_MEDIC_Bases_Complementaires/2020_ATC4/NB_2020_atc4_age_sexe.CSV.gz,NB_2020_atc4_age_sexe.CSV.gz,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe.CSV.gz,2026-08-27T12:07:42.214045+00:00,75738,b80764013167b109d813a3ebe8fc273000d4016289394410c90bbd862af6ff51
Assurance Maladie,Open Medic complementary databases,2020,ATC4,age_sex_region,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2020_ATC4,https://open-data-assurance-maladie.ameli.fr/medicaments/download_file.php?token=149ba81f38e02b3243f48d73318e97bb&file=Open_MEDIC_Bases_Complementaires/2020_ATC4/NB_2020_atc4_age_sexe_reg.CSV.gz,NB_2020_atc4_age_sexe_reg.CSV.gz,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,2026-08-27T12:07:42.473017+00:00,616446,5511f04bc78e39feadeb0baded55e43ff87c7638d2ae70f381cfe4656439aba3
Assurance Maladie,Open Medic complementary databases,2020,ATC4,national,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2020_ATC4,https://open-data-assurance-maladie.ameli.fr/medicaments/download_file.php?token=149ba81f38e02b3243f48d73318e97bb&file=Open_MEDIC_Bases_Complementaires/2020_ATC4/NB_2020_atc4.CSV.gz,NB_2020_atc4.CSV.gz,data/raw/open_medic/2020/atc4/NB_2020_atc4.CSV.gz,2026-08-27T12:07:42.150620+00:00,15908,a31e995d5e974e7f6d123ee7f0f05a6d7308fc2c27ff4de63f3c1ac7a09bd9f5
Assurance Maladie,Open Medic complementary databases,2020,ATC4,region,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2020_ATC4,https://open-data-assurance-maladie.ameli.fr/medicaments/download_file.php?token=149ba81f38e02b3243f48d73318e97bb&file=Open_MEDIC_Bases_Complementaires/2020_ATC4/NB_2020_atc4_reg.CSV.gz,NB_2020_atc4_reg.CSV.gz,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,2026-08-27T12:07:42.275456+00:00,134426,95b421afef904652ec198867f185098ee9af91568805fc9973b38542c40e9f52
Assurance Maladie,Open Medic complementary databases,2020,ATC5,national,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2020_ATC5,https://open-data-assurance-maladie.ameli.fr/medicaments/download_file.php?token=149ba81f38e02b3243f48d73318e97bb&file=Open_MEDIC_Bases_Complementaires/2020_ATC5/NB_2020_atc5.CSV.gz,NB_2020_atc5.CSV.gz,data/raw/open_medic/2020/atc5/NB_2020_atc5.CSV.gz,2026-08-27T12:07:42.548486+00:00,34814,e5e87b94db0c4299437911b8eec696075bd8e0991a80a3146e5c81d692bf06f6
