year,atc_level,aggregation,source_file,source_encoding,source_columns,canonical_columns,input_rows,target_rows,duplicate_target_key_rows,negative_beneficiary_cells,negative_expenditure_cells,negative_reimbursement_base_cells,negative_boxes_cells,output_file
2019,ATC4,age_sex,data/raw/open_medic/2019/atc4/NB_2019_atc4_age_sexe.CSV.gz,cp1252,ATC4|L_ATC4|age|SEXE|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,3413,9,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex.parquet
2019,ATC4,age_sex_region,data/raw/open_medic/2019/atc4/NB_2019_atc4_age_sexe_reg.CSV.gz,cp1252,ATC4|L_ATC4|age|SEXE|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,31799,61,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex_region.parquet
2019,ATC4,national,data/raw/open_medic/2019/atc4/NB_2019_atc4.CSV.gz,cp1252,ATC4|L_ATC4|nbc|REM|BSE|BOITES,ATC4|l_atc4|nbc|REM|BSE|BOITES,433,1,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_national.parquet
2019,ATC4,region,data/raw/open_medic/2019/atc4/NB_2019_atc4_reg.CSV.gz,cp1252,ATC4|L_ATC4|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,5888,14,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_region.parquet
2019,ATC5,national,data/raw/open_medic/2019/atc5/NB_2019_atc5.CSV.gz,utf-8,ATC5|L_ATC5|nbc|REM|BSE|BOITES,ATC5|l_atc5|nbc|REM|BSE|BOITES,1118,1,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc5_national.parquet
2020,ATC4,age_sex,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe.CSV.gz,cp1252,ATC4|L_ATC4|age|sexe|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,3441,8,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex.parquet
2020,ATC4,age_sex_region,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,cp1252,ATC4|L_ATC4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,32040,68,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex_region.parquet
2020,ATC4,national,data/raw/open_medic/2020/atc4/NB_2020_atc4.CSV.gz,cp1252,ATC4|L_ATC4|nbc|REM|BSE|BOITES,ATC4|l_atc4|nbc|REM|BSE|BOITES,437,1,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_national.parquet
2020,ATC4,region,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,cp1252,ATC4|L_ATC4|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,5947,14,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_region.parquet
2020,ATC5,national,data/raw/open_medic/2020/atc5/NB_2020_atc5.CSV.gz,utf-8,ATC5|L_ATC5|nbc|REM|BSE|BOITES,ATC5|l_atc5|nbc|REM|BSE|BOITES,1141,4,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc5_national.parquet
2021,ATC4,age_sex,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe.CSV.gz,cp1252,ATC4|L_ATC4|age|sexe|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,3545,10,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex.parquet
2021,ATC4,age_sex_region,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,cp1252,ATC4|L_ATC4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,31910,81,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex_region.parquet
2021,ATC4,national,data/raw/open_medic/2021/atc4/NB_2021_atc4.CSV.gz,cp1252,ATC4|L_ATC4|nbc|REM|BSE|BOITES,ATC4|l_atc4|nbc|REM|BSE|BOITES,450,1,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_national.parquet
2021,ATC4,region,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,cp1252,ATC4|L_ATC4|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,5972,14,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_region.parquet
2021,ATC5,national,data/raw/open_medic/2021/atc5/NB_2021_atc5.CSV.gz,utf-8,ATC5|L_ATC5|nbc|REM|BSE|BOITES,ATC5|l_atc5|nbc|REM|BSE|BOITES,1146,4,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc5_national.parquet
2022,ATC4,age_sex,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe.CSV.gz,cp1252,ATC4|L_ATC4|age|sexe|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,3514,9,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex.parquet
2022,ATC4,age_sex_region,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,cp1252,ATC4|L_ATC4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,32106,85,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex_region.parquet
2022,ATC4,national,data/raw/open_medic/2022/atc4/NB_2022_atc4.CSV.gz,cp1252,ATC4|L_ATC4|nbc|REM|BSE|BOITES,ATC4|l_atc4|nbc|REM|BSE|BOITES,446,1,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_national.parquet
2022,ATC4,region,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,cp1252,ATC4|L_ATC4|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,6065,14,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_region.parquet
2022,ATC5,national,data/raw/open_medic/2022/atc5/NB_2022_atc5.CSV.gz,utf-8,ATC5|L_ATC5|nbc|REM|BSE|BOITES,ATC5|l_atc5|nbc|REM|BSE|BOITES,1142,4,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc5_national.parquet
2023,ATC4,age_sex,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe.CSV.gz,cp1252,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,3503,8,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex.parquet
2023,ATC4,age_sex_region,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,cp1252,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,32357,89,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_age_sex_region.parquet
2023,ATC4,national,data/raw/open_medic/2023/atc4/NB_2023_atc4.CSV.gz,cp1252,ATC4|l_atc4|nbc|REM|BSE|BOITES,ATC4|l_atc4|nbc|REM|BSE|BOITES,451,1,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_national.parquet
2023,ATC4,region,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,cp1252,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,6133,15,0,0,0,0,0,data/interim/open_medic/full/open_medic_atc4_region.parquet
