source_id,provider,dataset,year,atc_level,resource_role,stable_url,expected_local_name,notes
open_medic_atc4_2019,Assurance Maladie,Open Medic complementary databases,2019,ATC4,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2019_ATC4,,Resolve selected CSV.gz files at download time
open_medic_atc5_2019,Assurance Maladie,Open Medic complementary databases,2019,ATC5,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2019_ATC5,,Resolve selected CSV.gz files at download time
open_medic_atc4_2020,Assurance Maladie,Open Medic complementary databases,2020,ATC4,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2020_ATC4,,Resolve selected CSV.gz files at download time
open_medic_atc5_2020,Assurance Maladie,Open Medic complementary databases,2020,ATC5,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2020_ATC5,,Resolve selected CSV.gz files at download time
open_medic_atc4_2021,Assurance Maladie,Open Medic complementary databases,2021,ATC4,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2021_ATC4,,Resolve selected CSV.gz files at download time
open_medic_atc5_2021,Assurance Maladie,Open Medic complementary databases,2021,ATC5,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2021_ATC5,,Resolve selected CSV.gz files at download time
open_medic_atc4_2022,Assurance Maladie,Open Medic complementary databases,2022,ATC4,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2022_ATC4,,Resolve selected CSV.gz files at download time
open_medic_atc5_2022,Assurance Maladie,Open Medic complementary databases,2022,ATC5,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2022_ATC5,,Resolve selected CSV.gz files at download time
open_medic_atc4_2023,Assurance Maladie,Open Medic complementary databases,2023,ATC4,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2023_ATC4,,Use corrected ATC4 source version
open_medic_atc5_2023,Assurance Maladie,Open Medic complementary databases,2023,ATC5,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2023_ATC5,,Resolve selected CSV.gz files at download time
open_medic_atc4_2024,Assurance Maladie,Open Medic complementary databases,2024,ATC4,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2024_ATC4,,Use corrected ATC4 source version
open_medic_atc5_2024,Assurance Maladie,Open Medic complementary databases,2024,ATC5,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2024_ATC5,,Resolve selected CSV.gz files at download time
open_medic_atc4_2025,Assurance Maladie,Open Medic complementary databases,2025,ATC4,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2025_ATC4,,Use regional data corrected on 2026-07-10
open_medic_atc5_2025,Assurance Maladie,Open Medic complementary databases,2025,ATC5,directory,https://open-data-assurance-maladie.ameli.fr/medicaments/download2.php?Dir_Rep=2025_ATC5,,Use regional data corrected on 2026-07-10
open_medic_dictionary,Assurance Maladie,Open Medic variable dictionary,,,documentation,https://www.assurance-maladie.ameli.fr/content/descriptif-des-variables-de-la-serie-open-medic,open_medic_variable_dictionary.xls,Official variable dictionary served as an Excel binary file
insee_regional_population,INSEE,Regional population estimates,1975-2026,,denominator,https://www.insee.fr/fr/statistiques/fichier/8721456/estim-pop-nreg-sexe-aq-1975-2026.xlsx,estim-pop-nreg-sexe-aq-1975-2026.xlsx,Current regions by sex and five-year age group
