figure_id,caption,sources
04,"Age- and sex-standardised rates of beneficiaries with reimbursed GLP-1 receptor agonist dispensings per 100,000 residents across regional analytical groupings in France, 2025, ranked by rate. Provence-Alpes-Côte d'Azur and Corsica form a single analytical grouping; overseas regions and departments are available only as a combined grouping. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
04a,"Age- and sex-standardised rates of beneficiaries with reimbursed GLP-1 receptor agonist dispensings per 100,000 residents across regional analytical groupings in France, 2025, ranked by rate. Provence-Alpes-Côte d'Azur and Corsica form a single analytical grouping; overseas regions and departments are available only as a combined grouping. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
04b,"Crude and age- and sex-standardised rates of beneficiaries with reimbursed GLP-1 receptor agonist dispensings per 100,000 residents across regional analytical groupings in France, 2025. Provence-Alpes-Côte d'Azur and Corsica form a single analytical grouping; overseas regions and departments are available only as a combined grouping. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
04c,"Year-on-year percentage change in age- and sex-standardised regional beneficiary rates for reimbursed GLP-1 receptor agonist dispensings in France, 2023–2025. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
04d,"Crude rates of beneficiaries with reimbursed GLP-1 receptor agonist dispensings per 100,000 residents across regional analytical groupings in France, 2020–2025. Rows are ordered by the 2025 age- and sex-standardised rate. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
04e,"Age- and sex-standardised regional beneficiary rates for reimbursed GLP-1 receptor agonist dispensings per 100,000 residents in France, 2020–2025. Vertical ranges in 2020–2021 represent disclosure-control bounds, not confidence intervals; all panels use a common scale. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
04f,"Regional year-on-year change in beneficiaries with reimbursed GLP-1 receptor agonist dispensings in France, comparing 2023–2024 with 2024–2025. The diagonal denotes equal growth in both periods; point labels identify the regional analytical groupings. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
S04-11,"Age- and sex-specific rates of beneficiaries with reimbursed GLP-1 receptor agonist dispensings per 100,000 residents in Île-de-France, 2020–2025. Vertical ranges represent disclosure-control bounds, not confidence intervals; gold-filled markers denote supported structural zeros; age-group panels use independent vertical scales. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
S04-24,"Age- and sex-specific rates of beneficiaries with reimbursed GLP-1 receptor agonist dispensings per 100,000 residents in Centre-Val de Loire, 2020–2025. Vertical ranges represent disclosure-control bounds, not confidence intervals; gold-filled markers denote supported structural zeros; age-group panels use independent vertical scales. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
S04-27,"Age- and sex-specific rates of beneficiaries with reimbursed GLP-1 receptor agonist dispensings per 100,000 residents in Bourgogne-Franche-Comté, 2020–2025. Vertical ranges represent disclosure-control bounds, not confidence intervals; gold-filled markers denote supported structural zeros; age-group panels use independent vertical scales. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
S04-28,"Age- and sex-specific rates of beneficiaries with reimbursed GLP-1 receptor agonist dispensings per 100,000 residents in Normandie, 2020–2025. Vertical ranges represent disclosure-control bounds, not confidence intervals; gold-filled markers denote supported structural zeros; age-group panels use independent vertical scales. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
S04-32,"Age- and sex-specific rates of beneficiaries with reimbursed GLP-1 receptor agonist dispensings per 100,000 residents in Hauts-de-France, 2020–2025. Vertical ranges represent disclosure-control bounds, not confidence intervals; gold-filled markers denote supported structural zeros; age-group panels use independent vertical scales. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
S04-44,"Age- and sex-specific rates of beneficiaries with reimbursed GLP-1 receptor agonist dispensings per 100,000 residents in Grand Est, 2020–2025. Vertical ranges represent disclosure-control bounds, not confidence intervals; gold-filled markers denote supported structural zeros; age-group panels use independent vertical scales. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
