year,measure,value
2020,Annual beneficiaries,411769
2020,"Beneficiaries per 100,000 residents",609.4009571970821
2021,Annual beneficiaries,509236
2021,"Beneficiaries per 100,000 residents",750.2152849270763
2022,Annual beneficiaries,624721
2022,"Beneficiaries per 100,000 residents",915.5765523846583
2023,Annual beneficiaries,751016
2023,"Beneficiaries per 100,000 residents",1096.0279538090247
2024,Annual beneficiaries,778285
2024,"Beneficiaries per 100,000 residents",1132.1301746704842
2025,Annual beneficiaries,925644
2025,"Beneficiaries per 100,000 residents",1342.1550215120287
