year,measure,source_value,index_2020
2020,Annual beneficiaries,411769,100
2021,Annual beneficiaries,509236,123.67031029533548
2022,Annual beneficiaries,624721,151.71637495780402
2023,Annual beneficiaries,751016,182.38769795686414
2024,Annual beneficiaries,778285,189.01010032323947
2025,Annual beneficiaries,925644,224.79691283219475
2020,"Beneficiaries per 100,000 residents",609.4009571970821,100
2021,"Beneficiaries per 100,000 residents",750.2152849270763,123.10700796691634
2022,"Beneficiaries per 100,000 residents",915.5765523846583,150.2420601037156
2023,"Beneficiaries per 100,000 residents",1096.0279538090247,179.8533364388146
2024,"Beneficiaries per 100,000 residents",1132.1301746704842,185.7775511016058
2025,"Beneficiaries per 100,000 residents",1342.1550215120287,220.241698944029
