year,measure,annual_percentage_change
2021,Annual beneficiaries,23.670310295335483
2021,"Beneficiaries per 100,000 residents",23.10700796691634
2022,Annual beneficiaries,22.678090315688593
2022,"Beneficiaries per 100,000 residents",22.04184195922585
2023,Annual beneficiaries,20.216224522626902
2023,"Beneficiaries per 100,000 residents",19.709045732371912
2024,Annual beneficiaries,3.6309479425205238
2024,"Beneficiaries per 100,000 residents",3.29391424151122
2025,Annual beneficiaries,18.93380959417179
2025,"Beneficiaries per 100,000 residents",18.551298387808977
