year,atc_code,atc_name,reimbursed_boxes
2019,A10BJ01,Exenatide,140950
2019,A10BJ02,Liraglutide,1654371
2019,A10BJ05,Dulaglutide,1526933
2019,A10BJ06,Semaglutide,168797
2020,A10BJ01,Exenatide,105952
2020,A10BJ02,Liraglutide,1524374
2020,A10BJ05,Dulaglutide,1903875
2020,A10BJ06,Semaglutide,748052
2021,A10BJ01,Exenatide,81665
2021,A10BJ02,Liraglutide,1309306
2021,A10BJ05,Dulaglutide,2333991
2021,A10BJ06,Semaglutide,1386865
2022,A10BJ01,Exenatide,53730
2022,A10BJ02,Liraglutide,1066198
2022,A10BJ05,Dulaglutide,3090221
2022,A10BJ06,Semaglutide,2033343
2023,A10BJ01,Exenatide,13999
2023,A10BJ02,Liraglutide,853449
2023,A10BJ05,Dulaglutide,3687840
2023,A10BJ06,Semaglutide,2922594
2024,A10BJ01,Exenatide,11909
2024,A10BJ02,Liraglutide,428511
2024,A10BJ05,Dulaglutide,3402352
2024,A10BJ06,Semaglutide,3642446
2025,A10BJ01,Exenatide,714
2025,A10BJ02,Liraglutide,392753
2025,A10BJ05,Dulaglutide,3758813
2025,A10BJ06,Semaglutide,4677641
