year,atc_code,atc_name,reimbursed_boxes,box_share
2019,A10BJ01,Exenatide,140950,0.04037466081131442
2019,A10BJ02,Liraglutide,1654371,0.473889095289642
2019,A10BJ05,Dulaglutide,1526933,0.4373849021397854
2019,A10BJ06,Semaglutide,168797,0.04835134175925817
2020,A10BJ01,Exenatide,105952,0.024742115890863992
2020,A10BJ02,Liraglutide,1524374,0.355974763751698
2020,A10BJ05,Dulaglutide,1903875,0.4445965710106339
2020,A10BJ06,Semaglutide,748052,0.17468654934680414
2021,A10BJ01,Exenatide,81665,0.015975697143115367
2021,A10BJ02,Liraglutide,1309306,0.25613268993649435
2021,A10BJ05,Dulaglutide,2333991,0.4565864611615377
2021,A10BJ06,Semaglutide,1386865,0.27130515175885256
2022,A10BJ01,Exenatide,53730,0.008605761006821182
2022,A10BJ02,Liraglutide,1066198,0.17076949886377688
2022,A10BJ05,Dulaglutide,3090221,0.4949507423089515
2022,A10BJ06,Semaglutide,2033343,0.3256739978204505
2023,A10BJ01,Exenatide,13999,0.0018720541458129454
2023,A10BJ02,Liraglutide,853449,0.11412977631901654
2023,A10BJ05,Dulaglutide,3687840,0.49316638053395334
2023,A10BJ06,Semaglutide,2922594,0.3908317890012172
2024,A10BJ01,Exenatide,11909,0.0015910024263822377
2024,A10BJ02,Liraglutide,428511,0.057247631264714
2024,A10BJ05,Dulaglutide,3402352,0.4545428069028851
2024,A10BJ06,Semaglutide,3642446,0.4866185594060186
2025,A10BJ01,Exenatide,714,8.086142560052349e-5
2025,A10BJ02,Liraglutide,392753,0.04447978639899496
2025,A10BJ05,Dulaglutide,3758813,0.42569044502210157
2025,A10BJ06,Semaglutide,4677641,0.5297489071533029
