year,age_code,age_group,sex_code,sex,beneficiaries,population_average,beneficiary_rate_per_100000
2020,0,0-19 years,1,Male,173,8280468.5,2.089253766257308
2021,0,0-19 years,1,Male,271,8241575.5,3.2882062416342603
2022,0,0-19 years,1,Male,431,8201473,5.255153555952693
2023,0,0-19 years,1,Male,541,8146963.5,6.640510909371326
2024,0,0-19 years,1,Male,543,8081236.5,6.719268765367775
2025,0,0-19 years,1,Male,674,8007375,8.417240356546309
2020,0,0-19 years,2,Female,256,7885832,3.246328351910109
2021,0,0-19 years,2,Female,394,7842849,5.0236846329694735
2022,0,0-19 years,2,Female,594,7796416,7.618885395545851
2023,0,0-19 years,2,Female,755,7738487,9.75642913143099
2024,0,0-19 years,2,Female,803,7671506,10.467305897955368
2025,0,0-19 years,2,Female,1024,7596793.5,13.479371263678551
2020,20,20-59 years,1,Male,80570,16463600.5,489.3826231995851
2021,20,20-59 years,1,Male,97919,16542314.5,591.9304701890416
2022,20,20-59 years,1,Male,117322,16626588.5,705.6288185637119
2023,20,20-59 years,1,Male,138596,16678127.5,831.0045597145123
2024,20,20-59 years,1,Male,139387,16706186.5,834.3436127688387
2025,20,20-59 years,1,Male,166251,16739998.5,993.1362897075528
2020,20,20-59 years,2,Female,72007,16948934.5,424.8467654412141
2021,20,20-59 years,2,Female,87378,17000502.5,513.9730428556451
2022,20,20-59 years,2,Female,106962,17059709.5,626.9860574120561
2023,20,20-59 years,2,Female,130158,17085456,761.8058306433261
2024,20,20-59 years,2,Female,135371,17087264,792.2333265290453
2025,20,20-59 years,2,Female,166677,17098130,974.8259020138458
2020,60,60 years or older,1,Male,140597,7954376,1767.542796568832
2021,60,60 years or older,1,Male,176984,8083496.5,2189.448588243961
2022,60,60 years or older,1,Male,219895,8235723,2670.01452088663
2023,60,60 years or older,1,Male,265333,8402177,3157.9077660468233
2024,60,60 years or older,1,Male,277278,8569748,3235.5443824019094
2025,60,60 years or older,1,Male,325016,8738069,3719.540324069311
2020,60,60 years or older,2,Female,117778,10036259,1173.52491600705
2021,60,60 years or older,2,Female,145843,10167911,1434.3457569603038
2022,60,60 years or older,2,Female,179036,10312615,1736.0873066627619
2023,60,60 years or older,2,Female,215099,10470399,2054.3534205334486
2024,60,60 years or older,2,Female,224374,10629245.5,2110.911823421521
2025,60,60 years or older,2,Female,265244,10786630,2459.007122706536
