year,age_code,age_group,sex_code,sex,beneficiary_rate_per_100000,beneficiary_rate_index_2020
2020,0,0-19 years,1,Male,2.089253766257308,100
2021,0,0-19 years,1,Male,3.2882062416342603,157.3866370251785
2022,0,0-19 years,1,Male,5.255153555952693,251.53256348398415
2023,0,0-19 years,1,Male,6.640510909371326,317.84127982055264
2024,0,0-19 years,1,Male,6.719268765367775,321.6109442465997
2025,0,0-19 years,1,Male,8.417240356546309,402.88262213474263
2020,0,0-19 years,2,Female,3.246328351910109,100
2021,0,0-19 years,2,Female,5.0236846329694735,154.74973842413644
2022,0,0-19 years,2,Female,7.618885395545851,234.69238381456302
2023,0,0-19 years,2,Female,9.75642913143099,300.53734785301054
2024,0,0-19 years,2,Female,10.467305897955368,322.43521798392646
2025,0,0-19 years,2,Female,13.479371263678551,415.21897363670604
2020,20,20-59 years,1,Male,489.3826231995851,100
2021,20,20-59 years,1,Male,591.9304701890416,120.95453375908573
2022,20,20-59 years,1,Male,705.6288185637119,144.1875508268578
2023,20,20-59 years,1,Male,831.0045597145123,169.8067157107872
2024,20,20-59 years,1,Male,834.3436127688387,170.48901477414495
2025,20,20-59 years,1,Male,993.1362897075528,202.93656591532095
2020,20,20-59 years,2,Female,424.8467654412141,100
2021,20,20-59 years,2,Female,513.9730428556451,120.9784526244118
2022,20,20-59 years,2,Female,626.9860574120561,147.57934116808335
2023,20,20-59 years,2,Female,761.8058306433261,179.31308241270744
2024,20,20-59 years,2,Female,792.2333265290453,186.47507547957696
2025,20,20-59 years,2,Female,974.8259020138458,229.45353038088086
2020,60,60 years or older,1,Male,1767.542796568832,100
2021,60,60 years or older,1,Male,2189.448588243961,123.86962242125823
2022,60,60 years or older,1,Male,2670.01452088663,151.0579843424263
2023,60,60 years or older,1,Male,3157.9077660468233,178.6608942186282
2024,60,60 years or older,1,Male,3235.5443824019094,183.05324140851206
2025,60,60 years or older,1,Male,3719.540324069311,210.43565854754473
2020,60,60 years or older,2,Female,1173.52491600705,100
2021,60,60 years or older,2,Female,1434.3457569603038,122.22541996302078
2022,60,60 years or older,2,Female,1736.0873066627619,147.9378309725068
2023,60,60 years or older,2,Female,2054.3534205334486,175.05835560129742
2024,60,60 years or older,2,Female,2110.911823421521,179.8778870928412
2025,60,60 years or older,2,Female,2459.007122706536,209.54025680795715
