study_year,region_code,region_name,region_display,standardised_rate_per_100000,standardised_rate_lower_per_100000,standardised_rate_upper_per_100000,standardised_plot_rate_per_100000,standardisation_status
2020,11,Île-de-France,Île-de-France,590.4388872784205,590.4388872784205,590.4388872784205,590.4388872784205,point_complete_observed
2021,11,Île-de-France,Île-de-France,732.9620159214646,732.9620159214646,732.9620159214646,732.9620159214646,point_complete_observed
2022,11,Île-de-France,Île-de-France,901.3937104377884,901.3937104377884,901.3937104377884,901.3937104377884,point_complete_observed
2023,11,Île-de-France,Île-de-France,1083.1537122053148,1083.1537122053148,1083.1537122053148,1083.1537122053148,point_complete_observed
2024,11,Île-de-France,Île-de-France,1140.7597279990764,1140.7597279990764,1140.7597279990764,1140.7597279990764,point_complete_observed
2025,11,Île-de-France,Île-de-France,1323.1813907544588,1323.1813907544588,1323.1813907544588,1323.1813907544588,point_complete_observed
2020,24,Centre-Val de Loire,Centre-Val de Loire,607.605314440961,607.605314440961,607.605314440961,607.605314440961,point_with_structural_zero
2021,24,Centre-Val de Loire,Centre-Val de Loire,774.2511499479077,774.2511499479077,774.2511499479077,774.2511499479077,point_with_structural_zero
2022,24,Centre-Val de Loire,Centre-Val de Loire,969.6873647854447,969.6873647854447,969.6873647854447,969.6873647854447,point_with_structural_zero
2023,24,Centre-Val de Loire,Centre-Val de Loire,1169.7749163473725,1169.7749163473725,1169.7749163473725,1169.7749163473725,point_complete_observed
2024,24,Centre-Val de Loire,Centre-Val de Loire,1172.587063825335,1172.587063825335,1172.587063825335,1172.587063825335,point_complete_observed
2025,24,Centre-Val de Loire,Centre-Val de Loire,1395.3654435173,1395.3654435173,1395.3654435173,1395.3654435173,point_complete_observed
2020,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,735.3307641077179,735.3307641077179,735.3307641077179,735.3307641077179,point_with_structural_zero
2021,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,884.7795427959918,884.7795427959918,884.7795427959918,884.7795427959918,point_with_structural_zero
2022,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,1066.9454226441665,1066.9454226441665,1066.9454226441665,1066.9454226441665,point_with_structural_zero
2023,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,1266.3697391743756,1266.3697391743756,1266.3697391743756,1266.3697391743756,point_with_structural_zero
