study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,44,Grand Est,0,0-19 years,1,Male,structural_zero_supported,0,0,0,653107,0,0,0
2021,44,Grand Est,0,0-19 years,1,Male,structural_zero_supported,0,0,0,647606,0,0,0
2022,44,Grand Est,0,0-19 years,1,Male,observed,21,21,21,642957,3.2661593232517885,3.2661593232517885,3.2661593232517885
2023,44,Grand Est,0,0-19 years,1,Male,observed,11,11,11,637002,1.7268391622004327,1.7268391622004327,1.7268391622004327
2024,44,Grand Est,0,0-19 years,1,Male,observed,17,17,17,629289.5,2.70145934422869,2.70145934422869,2.70145934422869
2025,44,Grand Est,0,0-19 years,1,Male,observed,34,34,34,620972.5,5.475282721859664,5.475282721859664,5.475282721859664
2020,44,Grand Est,0,0-19 years,2,Female,structural_zero_supported,0,0,0,618340.5,0,0,0
2021,44,Grand Est,0,0-19 years,2,Female,observed,13,13,13,613295.5,2.1196959703764335,2.1196959703764335,2.1196959703764335
2022,44,Grand Est,0,0-19 years,2,Female,observed,33,33,33,607147,5.435257030010854,5.435257030010854,5.435257030010854
2023,44,Grand Est,0,0-19 years,2,Female,observed,49,49,49,599642,8.171542353604318,8.171542353604318,8.171542353604318
2024,44,Grand Est,0,0-19 years,2,Female,observed,42,42,42,591708.5,7.098089684363162,7.098089684363162,7.098089684363162
2025,44,Grand Est,0,0-19 years,2,Female,observed,66,66,66,583149,11.317862158727873,11.317862158727873,11.317862158727873
2020,44,Grand Est,20,20-59 years,1,Male,observed,8009,8009,8009,1381977,579.5320761488795,579.5320761488795,579.5320761488795
2021,44,Grand Est,20,20-59 years,1,Male,observed,9738,9738,9738,1379136.5,706.0939943218093,706.0939943218093,706.0939943218093
2022,44,Grand Est,20,20-59 years,1,Male,observed,11663,11663,11663,1375856.5,847.6901479187692,847.6901479187692,847.6901479187692
2023,44,Grand Est,20,20-59 years,1,Male,observed,13772,13772,13772,1371850,1003.8998432773262,1003.8998432773262,1003.8998432773262
2024,44,Grand Est,20,20-59 years,1,Male,observed,13452,13452,13452,1366224,984.6116010258933,984.6116010258933,984.6116010258933
2025,44,Grand Est,20,20-59 years,1,Male,observed,16069,16069,16069,1361355,1180.3680891464753,1180.3680891464753,1180.3680891464753
2020,44,Grand Est,20,20-59 years,2,Female,observed,6733,6733,6733,1387045,485.42044418169564,485.42044418169564,485.42044418169564
2021,44,Grand Est,20,20-59 years,2,Female,observed,8200,8200,8200,1381737.5,593.4557034168936,593.4557034168936,593.4557034168936
2022,44,Grand Est,20,20-59 years,2,Female,observed,10103,10103,10103,1376850,733.7763736064204,733.7763736064204,733.7763736064204
2023,44,Grand Est,20,20-59 years,2,Female,observed,12138,12138,12138,1370754.5,885.4977313588976,885.4977313588976,885.4977313588976
2024,44,Grand Est,20,20-59 years,2,Female,observed,12164,12164,12164,1362900,892.5086213221807,892.5086213221807,892.5086213221807
2025,44,Grand Est,20,20-59 years,2,Female,observed,15076,15076,15076,1356120.5,1111.7006195245924,1111.7006195245924,1111.7006195245924
2020,44,Grand Est,60,60 years or older,1,Male,observed,13523,13523,13523,677824,1995.0606647153243,1995.0606647153243,1995.0606647153243
2021,44,Grand Est,60,60 years or older,1,Male,observed,17306,17306,17306,686670,2520.27902777171,2520.27902777171,2520.27902777171
2022,44,Grand Est,60,60 years or older,1,Male,observed,21660,21660,21660,697447,3105.612326097897,3105.612326097897,3105.612326097897
2023,44,Grand Est,60,60 years or older,1,Male,observed,26300,26300,26300,709346,3707.6405590501677,3707.6405590501677,3707.6405590501677
2024,44,Grand Est,60,60 years or older,1,Male,observed,27162,27162,27162,721266,3765.8783306020246,3765.8783306020246,3765.8783306020246
2025,44,Grand Est,60,60 years or older,1,Male,observed,31905,31905,31905,732962,4352.885961345882,4352.885961345882,4352.885961345882
2020,44,Grand Est,60,60 years or older,2,Female,observed,11291,11291,11291,843675.5,1338.3107604760362,1338.3107604760362,1338.3107604760362
2021,44,Grand Est,60,60 years or older,2,Female,observed,14294,14294,14294,852237.5,1677.2319922556799,1677.2319922556799,1677.2319922556799
2022,44,Grand Est,60,60 years or older,2,Female,observed,17707,17707,17707,861471,2055.4377338296936,2055.4377338296936,2055.4377338296936
2023,44,Grand Est,60,60 years or older,2,Female,observed,21402,21402,21402,871823,2454.856088907955,2454.856088907955,2454.856088907955
2024,44,Grand Est,60,60 years or older,2,Female,observed,21895,21895,21895,882418,2481.250382471799,2481.250382471799,2481.250382471799
2025,44,Grand Est,60,60 years or older,2,Female,observed,25836,25836,25836,892654,2894.2905089766023,2894.2905089766023,2894.2905089766023
