study_year,region_code,region_name,cell_status,cells
2020,11,Île-de-France,ambiguous_due_to_unknown_age,0
2020,11,Île-de-France,observed,6
2020,11,Île-de-France,structural_zero_supported,0
2020,24,Centre-Val de Loire,ambiguous_due_to_unknown_age,0
2020,24,Centre-Val de Loire,observed,4
2020,24,Centre-Val de Loire,structural_zero_supported,2
2020,27,Bourgogne-Franche-Comté,ambiguous_due_to_unknown_age,0
2020,27,Bourgogne-Franche-Comté,observed,4
2020,27,Bourgogne-Franche-Comté,structural_zero_supported,2
2020,28,Normandie,ambiguous_due_to_unknown_age,0
2020,28,Normandie,observed,4
2020,28,Normandie,structural_zero_supported,2
2020,32,Hauts-de-France,ambiguous_due_to_unknown_age,0
2020,32,Hauts-de-France,observed,4
2020,32,Hauts-de-France,structural_zero_supported,2
2020,44,Grand Est,ambiguous_due_to_unknown_age,0
2020,44,Grand Est,observed,4
2020,44,Grand Est,structural_zero_supported,2
2020,5,Overseas regions and departments,ambiguous_due_to_unknown_age,0
2020,5,Overseas regions and departments,observed,4
2020,5,Overseas regions and departments,structural_zero_supported,2
2020,52,Pays de la Loire,ambiguous_due_to_unknown_age,0
2020,52,Pays de la Loire,observed,4
2020,52,Pays de la Loire,structural_zero_supported,2
2020,53,Bretagne,ambiguous_due_to_unknown_age,0
2020,53,Bretagne,observed,4
2020,53,Bretagne,structural_zero_supported,2
2020,75,Nouvelle-Aquitaine,ambiguous_due_to_unknown_age,1
2020,75,Nouvelle-Aquitaine,observed,4
2020,75,Nouvelle-Aquitaine,structural_zero_supported,1
2020,76,Occitanie,ambiguous_due_to_unknown_age,2
2020,76,Occitanie,observed,4
2020,76,Occitanie,structural_zero_supported,0
2020,84,Auvergne-Rhône-Alpes,ambiguous_due_to_unknown_age,0
2020,84,Auvergne-Rhône-Alpes,observed,4
2020,84,Auvergne-Rhône-Alpes,structural_zero_supported,2
2020,93,Provence-Alpes-Côte d'Azur and Corse,ambiguous_due_to_unknown_age,1
2020,93,Provence-Alpes-Côte d'Azur and Corse,observed,5
2020,93,Provence-Alpes-Côte d'Azur and Corse,structural_zero_supported,0
