year,region_code,stratified_beneficiaries,stratified_boxes,stratified_expenditure_eur,stratified_rows,direct_beneficiaries,direct_boxes,direct_expenditure_eur,beneficiary_difference,boxes_difference,expenditure_difference_eur,reconciliation_scope,historical_window_amendment_id,amendment_id,analysis_version
2020,ALL,415264,4282253,352440684.62,14,411769,4282253,352440684.63,3495,0,-0.009999990463256836,regions_to_national,001,002,sap-v1.0-amendments-001-002
2020,11,62118,607456,48798514.690000005,6,62118,607456,48798514.68,0,0,0.01000000536441803,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2020,24,15827,161513,13156075.31,4,15827,161513,13156075.31,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2020,27,21258,227218,18657093.62,4,21258,227218,18657093.61,0,0,0.010000001639127731,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2020,28,21405,221636,17912165.41,4,21405,221636,17912165.41,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2020,32,49326,539194,44056411.68,4,49326,539194,44056411.68,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2020,44,39556,419803,34202615.82,4,39556,419803,34202615.83,0,0,-0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2020,5,20671,199356,20962508.15,4,20671,199356,20962508.16,0,0,-0.010000001639127731,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2020,52,19118,198144,16086282.850000001,4,19118,198144,16086282.85,0,0,1.862645149230957e-9,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2020,53,12477,132257,10857026.33,4,12477,132257,10857026.35,0,0,-0.019999999552965164,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2020,75,36848,393403,32107326.3,5,36848,393403,32107326.3,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2020,76,35009,359361,29100087.380000003,6,35009,359361,29100087.37,0,0,0.010000001639127731,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2020,84,44221,460272,37422498.550000004,4,44221,460272,37422498.55,0,0,7.450580596923828e-9,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2020,93,35345,351161,28195794.93,7,35345,351161,28195794.92,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,ALL,513508,5111827,413916113.89,14,509236,5111827,413916113.9,4272,0,-0.009999990463256836,regions_to_national,001,002,sap-v1.0-amendments-001-002
2021,11,77978,729198,57459448.2,6,77978,729198,57459448.2,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,24,20302,199171,15946804.690000001,4,20302,199171,15946804.69,0,0,1.862645149230957e-9,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,27,25743,266807,21533190.75,4,25743,266807,21533190.76,0,0,-0.010000001639127731,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,28,26238,265040,21129649.7,4,26238,265040,21129649.69,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,32,60157,630278,50578600.22,5,60157,630278,50578600.23,0,0,-0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,44,49551,504097,40379978.81,5,49551,504097,40379978.81,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,5,25822,244170,25162746.45,5,25822,244170,25162746.44,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,52,23969,241940,19345828.3,6,23969,241940,19345828.29,0,0,0.010000001639127731,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,53,15784,163006,13152314.079999998,4,15784,163006,13152314.09,0,0,-0.010000001639127731,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,75,45465,470893,37836306.63,6,45465,470893,37836306.63,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,76,43373,431913,34447629.9,8,43373,431913,34447629.9,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,84,53656,542267,43434632.14,6,53656,542267,43434632.13,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2021,93,43413,413810,32781201.9,8,43413,413810,32781201.9,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,ALL,629030,6243787,500119167.42,14,624721,6243787,500119167.41,4309,0,0.009999990463256836,regions_to_national,001,002,sap-v1.0-amendments-001-002
2022,11,97400,905012,69863248.18,6,97399,905012,69863248.19,1,0,-0.009999990463256836,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,24,25632,252739,20072750.67,4,25632,252739,20072750.66,0,0,0.010000001639127731,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,27,31261,318347,25405043.73,5,31261,318347,25405043.74,0,0,-0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,28,31603,321111,25490124.06,5,31603,321111,25490124.07,0,0,-0.010000001639127731,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,32,72771,753511,59888444.779999994,6,72771,753511,59888444.78,0,0,-7.450580596923828e-9,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,44,61187,621515,49307384.76,6,61187,621515,49307384.76,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,5,31549,294056,29968352.73,5,31549,294056,29968352.73,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,52,29749,301174,23938342.54,5,29749,301174,23938342.53,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,53,19865,202733,16227989.23,4,19865,202733,16227989.24,0,0,-0.009999999776482582,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,75,55283,569994,45453770.33,8,55283,569994,45453770.32,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,76,52734,523090,41326817.12,8,52734,523090,41326817.11,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,84,64874,654201,52001376.49,6,64874,654201,52001376.5,0,0,-0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2022,93,53553,517869,40522739.9,8,53553,517869,40522739.89,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,ALL,755798,7477882,589059790.92,15,751016,7477882,589059790.92,4782,0,0,regions_to_national,001,002,sap-v1.0-amendments-001-002
2023,11,119000,1099227,82780300.06,6,119000,1099227,82780300.07,0,0,-0.009999990463256836,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
