year,atc_level,aggregation,atc_code,atc_label,atc_name,analysis_role,age_code,sex_code,region_code,beneficiaries,reimbursed_expenditure_eur,reimbursement_base_eur,boxes,source_file,source_encoding
2020,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,75,12,8544.6,8822.78,111,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,cp1252
2020,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,76,49,23129.36,23352.02,281,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,cp1252
2020,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,76,99,66961.85,67787.66,829,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,cp1252
2020,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,93,22,16261.86,16289.82,205,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,cp1252
2020,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,93,86,64370.92,65388.21,792,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,cp1252
2021,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,75,11,5060.58,5088.4,64,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,cp1252
2021,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,75,24,16564.32,17266.12,206,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,cp1252
2021,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,76,57,33475.68,33955.11,420,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,cp1252
2021,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,76,103,67371.1,67888.97,843,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,cp1252
2021,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,93,48,24533.55,24783.52,312,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,cp1252
2021,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,93,82,64648.51,64970.6,794,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,cp1252
2022,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,75,11,6477.56,6477.56,81,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,cp1252
2022,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,75,12,6511.31,6874.96,86,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,cp1252
2022,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,76,63,34295.29,34434.15,432,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,cp1252
2022,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,76,101,66877.77,67517.11,835,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,cp1252
2022,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,93,62,35101.52,35623.44,438,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,cp1252
2022,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,93,104,67455,67656,834,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,cp1252
2023,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,75,11,6329.48,6329.48,79,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,cp1252
2023,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,75,12,8296.43,8492.72,106,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,cp1252
