reference_year,age_code,sex_code,direct_dom_population,five_drom_population,four_drom_population,mayotte_population,direct_minus_five_drom,mayotte_share_of_dom_pct,dom_matches_five_drom
2020,0,1,352705,352705,278346,74359,0,21.082491033583306,True
2020,0,2,347743,347743,271735,76008,0,21.857521215380324,True
2020,20,1,486008,486008,433229,52779,0,10.859697782752548,True
2020,20,2,575175,575175,510666,64509,0,11.215543095579607,True
2020,60,1,185450,185450,179284,6166,0,3.324885413858183,True
2020,60,2,225615,225615,219740,5875,0,2.6039935287990605,True
2021,0,1,354422,354422,277568,76854,0,21.684319822132938,True
2021,0,2,347646,347646,269096,78550,0,22.594823469851516,True
2021,20,1,486714,486714,432178,54536,0,11.20493760195926,True
2021,20,2,577953,577953,511291,66662,0,11.534155891569037,True
2021,60,1,191931,191931,185564,6367,0,3.317338001677686,True
2021,60,2,233212,233212,227142,6070,0,2.602782018077972,True
2022,0,1,353652,353652,274010,79642,0,22.519878298440275,True
2022,0,2,348583,348583,267171,81412,0,23.35512632572443,True
2022,20,1,488065,488065,431521,56544,0,11.585342116316474,True
2022,20,2,579359,579359,510256,69103,0,11.927492280261461,True
2022,60,1,201324,201324,194699,6625,0,3.2907154636307645,True
2022,60,2,242969,242969,236661,6308,0,2.5962159781700547,True
2023,0,1,355971,355971,273423,82548,0,23.18952948414337,True
2023,0,2,349561,349561,265178,84383,0,24.13970666064006,True
2023,20,1,488356,488356,429752,58604,0,12.000262103875043,True
2023,20,2,582322,582322,510698,71624,0,12.299724207569009,True
2023,60,1,210500,210500,203632,6868,0,3.26270783847981,True
2023,60,2,252318,252318,245782,6536,0,2.5903819782972284,True
2024,0,1,357080,357080,271855,85225,0,23.867200627310407,True
2024,0,2,350420,350420,263302,87118,0,24.861023914160153,True
2024,20,1,487102,487102,426593,60509,0,12.422244211684616,True
2024,20,2,581952,581952,508001,73951,0,12.707405421752997,True
2024,60,1,219566,219566,212474,7092,0,3.2300082890793655,True
2024,60,2,262406,262406,255655,6751,0,2.572730806460218,True
2025,0,1,355918,355918,268415,87503,0,24.585157255322855,True
2025,0,2,348653,348653,259205,89448,0,25.655307712826218,True
2025,20,1,485745,485745,423617,62128,0,12.790250028307035,True
2025,20,2,581696,581696,505775,75921,0,13.051662724172076,True
2025,60,1,228811,228811,221527,7284,0,3.183413384846008,True
2025,60,2,272626,272626,265702,6924,0,2.5397430912678907,True
2026,0,1,354915,354915,265019,89896,0,25.328881563191185,True
2026,0,2,347646,347646,255753,91893,0,26.43292314595882,True
2026,20,1,484402,484402,420581,63821,0,13.175213975169383,True
2026,20,2,581399,581399,503398,78001,0,13.41608774696895,True
2026,60,1,238170,238170,230691,7479,0,3.1401939790905655,True
2026,60,2,282619,282619,275501,7118,0,2.5185850915897374,True
