year,atc_code,atc_name,beneficiaries,boxes,box_share,reimbursement_base_eur,reimbursed_expenditure_eur,expenditure_share
2019,A10BJ01,Exenatide,16097,140950,0.04037466081131442,11705368,11561008,0.03870822160344677
2019,A10BJ02,Liraglutide,141039,1654371,0.473889095289642,152662396.25,150545790.63,0.5040529186704257
2019,A10BJ05,Dulaglutide,174589,1526933,0.4373849021397854,125286681.94,123186786.68,0.41245031898827206
2019,A10BJ06,Semaglutide,40743,168797,0.04835134175925817,13696830.72,13377020.6,0.044788540737855424
2020,A10BJ01,Exenatide,11625,105952,0.024742115890863992,8316031.96,8224226.46,0.023335065497997128
2020,A10BJ02,Liraglutide,123662,1524374,0.355974763751698,136668675.39,134880769.64,0.38270487920996066
2020,A10BJ05,Dulaglutide,207688,1903875,0.4445965710106339,153198686.5,150725339.78,0.4276615792476819
2020,A10BJ06,Semaglutide,98461,748052,0.17468654934680414,59831780.36,58610348.75,0.1662984760443603
2021,A10BJ01,Exenatide,9094,81665,0.015975697143115367,6380539.44,6314643.94,0.015255854333628544
2021,A10BJ02,Liraglutide,108933,1309306,0.25613268993649435,115480959.02,113972720.39,0.275352218873835
2021,A10BJ05,Dulaglutide,260575,2333991,0.4565864611615377,187993710.48,185007038.67,0.44696747108206747
2021,A10BJ06,Semaglutide,164633,1386865,0.27130515175885256,111052211.56,108621710.9,0.2624244557104691
2022,A10BJ01,Exenatide,6559,53730,0.008605761006821182,4185628.47,4150114.47,0.00829866515945415
2022,A10BJ02,Liraglutide,90417,1066198,0.17076949886377688,94434271.47,93162730.76,0.1862903574121461
2022,A10BJ05,Dulaglutide,329821,3090221,0.4949507423089515,250164974.03,246263236.9,0.4924336807790348
2022,A10BJ06,Semaglutide,234345,2033343,0.3256739978204505,163871868.1,156518136.67,0.31297729664936486
2023,A10BJ01,Exenatide,1942,13999,0.0018720541458129454,1105462.01,1094808.27,0.0018585690058561231
2023,A10BJ02,Liraglutide,76116,853449,0.11412977631901654,75721147.43,74490470.84,0.1264565532875024
2023,A10BJ05,Dulaglutide,387927,3687840,0.49316638053395334,298987284.68,294181184.75,0.4994080215363956
2023,A10BJ06,Semaglutide,364538,2922594,0.3908317890012172,230653681.14,219293327.06,0.372276856170246
2024,A10BJ01,Exenatide,1951,11909,0.0015910024263822377,939486.8,932464.47,0.0016018631019872425
2024,A10BJ02,Liraglutide,55128,428511,0.057247631264714,38338693.29,37692187.68,0.06475069734053258
2024,A10BJ05,Dulaglutide,390889,3402352,0.4545428069028851,276535202.1,272431741.86,0.4680053440488165
2024,A10BJ06,Semaglutide,445242,3642446,0.4866185594060186,283438348.66,271056065.44,0.4656420955086636
2025,A10BJ01,Exenatide,462,714,8.086142560052349e-5,57124.24,55900.18,8.286885457663701e-5
2025,A10BJ02,Liraglutide,37490,392753,0.04447978639899496,26648581.08,26157251.32,0.03877664536610842
2025,A10BJ05,Dulaglutide,395192,3758813,0.42569044502210157,305272125.73,300251140.56,0.44510533067220964
2025,A10BJ06,Semaglutide,534332,4677641,0.5297489071533029,363593842.61,348097704.55,0.5160351551071053
