study_year,demographic_scope,age_code,age_group,sex_code,sex,beneficiaries,boxes,open_medic_source_file,population_average,population_start_status,population_end_status,beneficiary_rate_per_100000,beneficiary_rate_index_2020,beneficiary_rate_percentage_change,beneficiary_measure_status,amendment_id,analysis_version,denominator_source_file
2020,age,0,0-19 years,ALL,All sexes,429,1776,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe.CSV.gz,16166300.5,not_specified,definitive,2.653668351642975,100,,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2021,age,0,0-19 years,ALL,All sexes,665,3150,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe.CSV.gz,16084424.5,definitive,definitive,4.134434527017115,155.80072485159454,55.80072485159453,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2022,age,0,0-19 years,ALL,All sexes,1025,4541,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe.CSV.gz,15997889,definitive,definitive,6.4070953361409115,241.44295696084495,54.96908450896334,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2023,age,0,0-19 years,ALL,All sexes,1296,6226,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe.CSV.gz,15885450.5,definitive,provisional,8.158408853434784,307.438902392744,27.333970003772645,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2024,age,0,0-19 years,ALL,All sexes,1346,6396,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe.CSV.gz,15752742.5,provisional,provisional,8.544543910369892,321.98989391721386,4.732970164550432,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2025,age,0,0-19 years,ALL,All sexes,1698,8178,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe.CSV.gz,15604168.5,provisional,early,10.881707666768659,410.0628347182657,27.352703443449112,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2020,age,20,20-59 years,ALL,All sexes,152577,1486795,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe.CSV.gz,33412535,not_specified,definitive,456.64598630424183,100,,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2021,age,20,20-59 years,ALL,All sexes,185297,1740089,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe.CSV.gz,33542817,definitive,definitive,552.4193152888739,120.9732116030957,20.97321160309571,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2022,age,20,20-59 years,ALL,All sexes,224284,2081831,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe.CSV.gz,33686298,definitive,definitive,665.8018640101088,145.80263135533534,20.524725617521966,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2023,age,20,20-59 years,ALL,All sexes,268754,2478221,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe.CSV.gz,33763583.5,definitive,provisional,795.9877837019285,174.31178803170278,19.55325251084654,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
