study_year,region_code,region_name,age_code,sex_code,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000,boxes,unknown_age_beneficiaries,unknown_age_boxes,population_start_status,population_end_status,open_medic_source_file,historical_window_amendment_id,amendment_id,analysis_version,standard_population,standard_weight
2020,11,Île-de-France,0,1,observed,37,37,37,1595420.5,2.3191378072426674,2.3191378072426674,2.3191378072426674,112,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,11,Île-de-France,0,2,observed,53,53,53,1532256,3.4589520289037865,3.4589520289037865,3.4589520289037865,199,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2020,11,Île-de-France,20,1,observed,13988,13988,13988,3228572,433.2565604855645,433.2565604855645,433.2565604855645,127774,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,11,Île-de-France,20,2,observed,13412,13412,13412,3394529.5,395.1063026554932,395.1063026554932,395.1063026554932,122682,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2020,11,Île-de-France,60,1,observed,18519,18519,18519,1116588.5,1658.5340078283093,1658.5340078283093,1658.5340078283093,189455,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,11,Île-de-France,60,2,observed,16109,16109,16109,1427170,1128.7372912827484,1128.7372912827484,1128.7372912827484,167234,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2020,24,Centre-Val de Loire,0,1,structural_zero_supported,0,0,0,308727.5,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,24,Centre-Val de Loire,0,2,structural_zero_supported,0,0,0,292962.5,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2020,24,Centre-Val de Loire,20,1,observed,2967,2967,2967,601315.5,493.4181806389491,493.4181806389491,493.4181806389491,28377,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,24,Centre-Val de Loire,20,2,observed,2580,2580,2580,611227,422.1017723366278,422.1017723366278,422.1017723366278,25077,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2020,24,Centre-Val de Loire,60,1,observed,5695,5695,5695,339215.5,1678.873754294836,1678.873754294836,1678.873754294836,59801,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,24,Centre-Val de Loire,60,2,observed,4585,4585,4585,420635,1090.0186622606298,1090.0186622606298,1090.0186622606298,48258,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2020,27,Bourgogne-Franche-Comté,0,1,structural_zero_supported,0,0,0,325903,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,27,Bourgogne-Franche-Comté,0,2,structural_zero_supported,0,0,0,307724.5,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2020,27,Bourgogne-Franche-Comté,20,1,observed,3805,3805,3805,659881.5,576.6186807782913,576.6186807782913,576.6186807782913,37771,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,27,Bourgogne-Franche-Comté,20,2,observed,3003,3003,3003,659264,455.5079603921949,455.5079603921949,455.5079603921949,29955,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2020,27,Bourgogne-Franche-Comté,60,1,observed,8027,8027,8027,379063,2117.5899520660155,2117.5899520660155,2117.5899520660155,87838,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,27,Bourgogne-Franche-Comté,60,2,observed,6423,6423,6423,469108.5,1369.1928413149624,1369.1928413149624,1369.1928413149624,71654,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2020,28,Normandie,0,1,structural_zero_supported,0,0,0,404690.5,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,28,Normandie,0,2,structural_zero_supported,0,0,0,383319,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2020,28,Normandie,20,1,observed,4052,4052,4052,786396.5,515.2617032247726,515.2617032247726,515.2617032247726,39299,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,28,Normandie,20,2,observed,3472,3472,3472,799395.5,434.32818923799294,434.32818923799294,434.32818923799294,34063,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2020,28,Normandie,60,1,observed,7649,7649,7649,418905,1825.9509912748713,1825.9509912748713,1825.9509912748713,81355,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,28,Normandie,60,2,observed,6232,6232,6232,534037.5,1166.959249116401,1166.959249116401,1166.959249116401,66919,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2020,32,Hauts-de-France,0,1,structural_zero_supported,0,0,0,785346,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,32,Hauts-de-France,0,2,structural_zero_supported,0,0,0,748117,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2020,32,Hauts-de-France,20,1,observed,10204,10204,10204,1477367,690.688231157187,690.688231157187,690.688231157187,104184,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,32,Hauts-de-France,20,2,observed,8468,8468,8468,1501386,564.0121860734015,564.0121860734015,564.0121860734015,88310,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2020,32,Hauts-de-France,60,1,observed,16166,16166,16166,643729.5,2511.3032725702333,2511.3032725702333,2511.3032725702333,181825,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,32,Hauts-de-France,60,2,observed,14488,14488,14488,840567.5,1723.5974505319323,1723.5974505319323,1723.5974505319323,164875,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2020,44,Grand Est,0,1,structural_zero_supported,0,0,0,653107,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,44,Grand Est,0,2,structural_zero_supported,0,0,0,618340.5,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2020,44,Grand Est,20,1,observed,8009,8009,8009,1381977,579.5320761488795,579.5320761488795,579.5320761488795,79908,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,44,Grand Est,20,2,observed,6733,6733,6733,1387045,485.42044418169564,485.42044418169564,485.42044418169564,67266,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
