study_year,region_code,region_name,beneficiaries,boxes,reimbursement_base_eur,reimbursed_expenditure_eur,open_medic_source_file,population_average,denominator_strata,beneficiary_rate_per_100000,boxes_per_100000,beneficiaries_absolute_change,beneficiaries_percentage_change,beneficiary_rate_absolute_change,beneficiary_rate_percentage_change,boxes_percentage_change,beneficiary_measure_status,additive_measure_status,historical_window_amendment_id,amendment_id,analysis_version,denominator_source_file
2020,11,Île-de-France,62118,607456,50091635.78,48798514.68,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,12294536.5,6,505.24881519526986,4940.861332999418,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2020,24,Centre-Val de Loire,15827,161513,13317588.02,13156075.31,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,2574083,6,614.8597384000437,6274.583997485707,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2020,27,Bourgogne-Franche-Comté,21258,227218,18870254.46,18657093.61,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,2800944.5,6,758.9582728254701,8112.19215518194,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2020,28,Normandie,21405,221636,18140887.49,17912165.41,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,3326744,6,643.4219164444274,6662.249935672839,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2020,32,Hauts-de-France,49326,539194,44667044.18,44056411.68,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,5996513,6,822.5780549462663,8991.792396681205,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2020,44,Grand Est,39556,419803,34672717.46,34202615.83,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,5561969,6,711.1869915132573,7547.740737138232,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2020,5,Overseas regions and departments,20671,199356,21334312.8,20962508.16,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,2182287,6,947.2173000159925,9135.187076676899,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2020,52,Pays de la Loire,19118,198144,16281184.05,16086282.85,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,3843059.5,6,497.4682281135642,5155.892069846954,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2020,53,Bretagne,12477,132257,10995608.82,10857026.35,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,3384201,6,368.6837749885423,3908.071654136382,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2020,75,Nouvelle-Aquitaine,36848,393403,32475148.45,32107326.3,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,6051652,6,608.8915886108455,6500.753843743824,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
