study_year,region_code,region_name,region_display,geographic_scope,beneficiaries,beneficiary_rate_per_100000,boxes,reimbursed_expenditure_eur,beneficiaries_absolute_change,beneficiaries_percentage_change,beneficiary_rate_absolute_change,beneficiary_rate_percentage_change,boxes_percentage_change,expenditure_percentage_change,standardised_rate_per_100000,standardised_rate_percentage_change,standardisation_status
2021,11,Île-de-France,Île-de-France,Metropolitan grouping,77978,631.4457267263911,729198,57459448.2,15860,25.532051901220253,126.1969115311212,24.97718109093403,20.041286940947156,17.748354794802125,732.9620159214646,24.138506408341897,point_complete_observed
2021,24,Centre-Val de Loire,Centre-Val de Loire,Metropolitan grouping,20302,787.6777435061787,199171,15946804.69,4475,28.27446768180957,172.81800510613493,28.106898909307844,23.31577024759617,21.21247647373037,774.2511499479077,27.426658646044345,point_with_structural_zero
2021,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,Metropolitan grouping,25743,918.7085833034002,266807,21533190.76,4485,21.097939599209713,159.75031047793016,21.048628916476186,17.423355544014996,15.415569059794198,884.7795427959918,20.32402096893382,point_with_structural_zero
2021,28,Normandie,Normandie,Metropolitan grouping,26238,787.0959226283327,265040,21129649.69,4833,22.578836720392424,143.67400618390525,22.32967241430832,19.58346117056795,17.96256458308354,784.5346584943079,21.33103922732542,point_with_structural_zero
2021,32,Hauts-de-France,Hauts-de-France,Metropolitan grouping,60157,1003.1008300006135,630278,50578600.23,10831,21.957993755828564,180.52277505434722,21.94597509243541,16.892621208692972,14.804175604162584,1084.364620112765,21.126736207483397,point_with_structural_zero
2021,44,Grand Est,Grand Est,Metropolitan grouping,49551,891.0955722525453,504097,40379978.81,9995,25.267974517140246,179.9085807392879,25.296944810039346,20.079418203300126,18.061083429126732,900.3893838320336,24.518077232038138,point_with_structural_zero
2021,5,Overseas regions and departments,Overseas regions/departments,Overseas aggregate,25822,1172.174141989137,244170,25162746.44,5151,24.91896860335736,224.9568419731446,23.74923282855439,22.479383615241066,20.036907072097243,1433.3437564703386,22.4205468688923,point_with_structural_zero
2021,52,Pays de la Loire,Pays de la Loire,Metropolitan grouping,23969,619.8974165337444,241940,19345828.29,4851,25.37399309551209,122.4291884201802,24.610453794092656,22.10311692506459,20.26288776838212,634.9876717954248,23.857082356130242,point_complete_observed
2021,53,Bretagne,Bretagne,Metropolitan grouping,15784,463.0496147218328,163006,13152314.09,3307,26.504768774545173,94.3658397332905,25.595332947923488,23.249431032005873,21.141034994356446,454.32702847825647,24.697407613198806,point_with_structural_zero
2021,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,Metropolitan grouping,45465,746.3840634813067,470893,37836306.63,8617,23.385258358662607,137.49247487046125,22.580780789589028,19.697358688164556,17.843218324909227,,,interval_due_to_unknown_age
2021,76,Occitanie,Occitanie,Metropolitan grouping,43373,716.736896350604,431913,34447629.9,8364,23.890999457282412,133.0660587606949,22.798133843751845,20.189169108500927,18.376379637653283,695.2367676292504,,point_complete_observed
2021,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,Metropolitan grouping,53656,659.2356854194048,542267,43434632.13,9435,21.336016824585613,113.06185106257453,20.70070808055373,17.814466228664784,16.065558989780506,687.4134103654555,20.167950603649444,point_complete_observed
2021,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,Metropolitan grouping,43413,789.5408076275176,413810,32781201.9,8068,22.826425236950065,142.06627886697186,21.941601183745085,17.840534683521227,16.26273347855658,761.7120758372173,,point_complete_observed
2022,11,Île-de-France,Île-de-France,Metropolitan grouping,97399,784.0837100871432,905012,69863248.19,19421,24.905742645361517,152.63798336075217,24.17277952803236,24.11059821886512,21.587050308638347,901.3937104377884,22.979593874939752,point_complete_observed
2022,24,Centre-Val de Loire,Centre-Val de Loire,Metropolitan grouping,25632,991.8299401698092,252739,20072750.66,5330,26.2535710767412,204.15219666363055,25.918238562243843,26.895481771944716,25.873183062104708,969.6873647854447,25.24196636332876,point_with_structural_zero
2022,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,Metropolitan grouping,31261,1115.1406535849321,318347,25405043.74,5518,21.434953191158755,196.43207028153188,21.381325248450512,19.317334252849427,17.980860445412205,1066.9454226441665,20.58884400429426,point_with_structural_zero
2022,28,Normandie,Normandie,Metropolitan grouping,31603,945.5017834180713,321111,25490124.07,5365,20.447442640445157,158.40586078973865,20.125356546223404,21.15567461515242,20.636756614397033,935.0288569474138,19.182606762324173,point_with_structural_zero
2022,32,Hauts-de-France,Hauts-de-France,Metropolitan grouping,72771,1213.7491858551878,753511,59888444.78,12614,20.968465847698514,210.64835585457422,20.999719026694997,19.552165869663863,18.40668683527149,1302.8288262205663,20.146747879424808,point_complete_observed
2022,44,Grand Est,Grand Est,Metropolitan grouping,61187,1100.1435974445715,621515,49307384.76,11636,23.482876228532223,209.04802519202622,23.459663778104822,23.292739294223132,22.108495876152222,1103.6044057191773,22.56968213266419,point_complete_observed
2022,5,Overseas regions and departments,Overseas regions/departments,Overseas aggregate,31549,1416.9836828371112,294056,29968352.73,5727,22.178762295716826,244.80954084797418,20.88508286256352,20.430847360445583,19.098099253429513,1709.419453361158,19.260955067098905,point_with_structural_zero
2022,52,Pays de la Loire,Pays de la Loire,Metropolitan grouping,29749,764.1299439584957,301174,23938342.53,5780,24.11448120488966,144.2325274247513,23.267160594288416,24.482929651979823,23.739041674291638,776.929300441656,22.35344636611476,point_with_structural_zero
2022,53,Bretagne,Bretagne,Metropolitan grouping,19865,578.1251023141738,202733,16227989.24,4081,25.85529650278764,115.07548759234095,24.85165389058148,24.37149552777198,23.385049421367654,562.4129795572426,23.79034138493017,point_with_structural_zero
2022,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,Metropolitan grouping,55283,901.561379454306,569994,45453770.32,9818,21.59463323435611,155.17731597299928,20.790545185171382,21.04533301620537,20.132683045654854,844.8685263901588,,point_complete_observed
2022,76,Occitanie,Occitanie,Metropolitan grouping,52734,864.110461416044,523090,41326817.11,9361,21.58255135683489,147.37356506544006,20.56173831929391,21.110038364207618,19.96998699176109,833.6955933725839,19.915348581962444,point_complete_observed
2022,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,Metropolitan grouping,64874,792.6232789500876,654201,52001376.5,11218,20.90726107052334,133.3875935306828,20.23367309763,20.641860928288104,19.72330361716821,821.1060574105682,19.448652736355033,point_complete_observed
2022,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,Metropolitan grouping,53553,965.2638050676485,517869,40522739.89,10140,23.35705894547717,175.72299744013094,22.256354040541492,25.146564848602004,23.615784477993774,925.40778007404106,21.49049613752041,point_complete_observed
2023,11,Île-de-France,Île-de-France,Metropolitan grouping,119000,953.1205266159108,1099227,82780300.07,21601,22.177845768437045,169.03681652876753,21.558516565786157,21.459936442831705,18.48905141780812,1083.1537122053148,20.164329932948988,point_complete_observed
2023,24,Centre-Val de Loire,Centre-Val de Loire,Metropolitan grouping,31124,1202.8513032853677,308078,24098257.02,5492,21.426342072409497,211.02136311555853,21.275962195639096,21.895710594724193,20.05458259401305,1169.7749163473725,20.63423313824446,point_complete_observed
2023,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,Metropolitan grouping,37330,1332.5361200103519,379277,29727282.91,6069,19.41396628386809,217.39546642541973,19.494892032367495,19.139492440638683,17.013311270921673,1266.3697391743756,18.691145048074166,point_with_structural_zero
2023,28,Normandie,Normandie,Metropolitan grouping,37185,1110.8618298196122,380806,29893890.36,5582,17.662880106319022,165.3600464015409,17.489131094364517,18.590144840880573,17.276362711717464,1089.4808189773555,16.518416611673416,point_with_structural_zero
2023,32,Hauts-de-France,Hauts-de-France,Metropolitan grouping,86239,1440.1929720640405,895669,69972339.39,13468,18.50737244231906,226.44378620885277,18.6565551472897,18.866081583414186,16.837796752016445,1531.8827287057215,17.581273754099215,point_complete_observed
2023,44,Grand Est,Grand Est,Metropolitan grouping,73672,1324.9364818379195,746698,58275715.14,12485,20.40466112082633,224.792884393348,20.433049368782406,20.141589503069124,18.18861499885398,1318.0041295570072,19.427226162450275,point_complete_observed
2023,5,Overseas regions and departments,Overseas regions/departments,Overseas aggregate,38538,1713.7315082820573,350517,35163943.3,6989,22.15284161146154,296.7478254449461,20.942218957016646,19.200764480235065,17.33692411060992,2037.6333720724106,19.20031494118659,point_complete_observed
2023,52,Pays de la Loire,Pays de la Loire,Metropolitan grouping,35335,902.090329788243,362305,28448536.41,5586,18.77710175131937,137.96038582974734,18.0545713357414,20.297568847244452,18.840877869249862,909.73612693245,17.09381103471039,point_complete_observed
2023,53,Bretagne,Bretagne,Metropolitan grouping,24058,695.4102719710897,247076,19535623.37,4193,21.10747545935061,117.28516965691597,20.28716089085836,21.872610773776337,20.38227953619225,670.189105477155,19.16316476279738,point_with_structural_zero
2023,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,Metropolitan grouping,65821,1067.453887081896,677855,53303420.99,10538,19.061917768572624,165.89250762759002,18.40057830871158,18.92318164752611,17.269525970535593,993.0427061772469,17.538134651575543,point_complete_observed
2023,76,Occitanie,Occitanie,Metropolitan grouping,63281,1029.752845322599,624245,48589528.33,10547,20.000379261956237,165.64238390655487,19.169121461058538,19.33797243304212,17.57384605900998,986.5396798554398,18.333320662587326,point_complete_observed
2023,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,Metropolitan grouping,77425,941.6870409997828,774086,60604701.46,12551,19.3467336683417,149.06376204969513,18.806382049130033,18.32540763465662,16.544417742480345,967.3420505593858,17.80963516576484,point_complete_observed
2023,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,Metropolitan grouping,64860,1159.7010846316273,622245,47923244.45,11307,21.11366310010643,194.4372795639788,20.143434213857425,20.154904039438538,18.26259670518049,1104.5892331506384,19.362432101258232,point_complete_observed
2024,11,Île-de-France,Île-de-France,Metropolitan grouping,126910,1012.9773000016363,1144585,85272061.67,7910,6.647058823529406,59.856773385725546,6.280084387464524,4.126354247120934,3.0100900792736196,1140.7597279990764,5.318360186983528,point_complete_observed
2024,24,Centre-Val de Loire,Centre-Val de Loire,Metropolitan grouping,31415,1213.798550010123,296479,22860116.53,291,0.9349697982264482,10.94724672475536,0.9101080652990978,-3.764955628120148,-5.1378839929063,1172.587063825335,0.24040073339437473,point_complete_observed
2024,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,Metropolitan grouping,37212,1329.6985666398311,354661,27357008.63,-118,-0.31609965175461996,-2.837553370520709,-0.2129438240292214,-6.490243278659136,-7.973396987461179,1253.574530555811,-1.0103848996665499,point_with_structural_zero
2024,28,Normandie,Normandie,Metropolitan grouping,37692,1125.1440684113386,368032,28460661.26,507,1.363453005244053,14.282238591726355,1.2856899218551376,-3.3544639527738562,-4.794388026249519,1094.0078644622342,0.4155231928844927,point_with_structural_zero
2024,32,Hauts-de-France,Hauts-de-France,Metropolitan grouping,86611,1448.551953971334,846663,65119636.15,372,0.4313593617736755,8.358981907293355,0.5804070752625234,-5.471440900600555,-6.935173644763859,1526.9011680338194,-0.3251920384343632,point_complete_observed
2024,44,Grand Est,Grand Est,Metropolitan grouping,74732,1345.5997562752461,726179,55740238.39,1060,1.438809859919643,20.663274437326663,1.5595671732627547,-2.7479650407527534,-4.350829061314543,1326.5622586899917,0.649324910374971,point_complete_observed
2024,5,Overseas regions and departments,Overseas regions/departments,Overseas aggregate,43125,1903.1437728584115,397684,39347428.77,4587,11.902537754943165,189.41226457635412,11.052621934122687,13.456408676326692,11.897088544105362,2232.13588136921,9.545510589030904,point_complete_observed
