study_year,region_code,region_name,observed_cells,structural_zero_cells,ambiguous_cells,standardised_rate_per_100000,standardised_rate_lower_per_100000,standardised_rate_upper_per_100000,standardisation_status,crude_rate_per_100000,standard_population_year,standard_population_scope,historical_window_amendment_id,amendment_id,analysis_version,region_display,geographic_scope,standardised_plot_rate_per_100000,standardised_rate_percentage_change,beneficiaries,boxes,reimbursed_expenditure_eur,standardised_rank,crude_rank,national_scope_rank,metropolitan_rank,crude_standardised_difference,ratio_to_regional_median
2025,5,Overseas regions and departments,6,0,0,2435.865767444098,2435.865767444098,2435.865767444098,point_complete_observed,2106.386709332398,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Overseas regions/departments,Overseas aggregate,2435.865767444098,9.127127419766135,48053,435921,42258993.58,1,1,1,,329.47905811169994,1.8409159805785982
2025,32,Hauts-de-France,6,0,0,1747.1649451613903,1747.1649451613903,1747.1649451613903,point_complete_observed,1675.3137779558501,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Hauts-de-France,Metropolitan grouping,1747.1649451613903,14.425542513088985,100018,985494,74468127.74,2,2,2,1,71.85116720554015,1.3204273861236684
2025,44,Grand Est,6,0,0,1568.1796923756413,1568.1796923756413,1568.1796923756413,point_complete_observed,1604.156898247823,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Grand Est,Metropolitan grouping,1568.1796923756413,18.213802790096857,88986,862259,65115995.65,3,3,3,2,-35.977205872181685,1.1851585151764326
2025,27,Bourgogne-Franche-Comté,5,1,0,1464.2744017024504,1464.2744017024504,1464.2744017024504,point_with_structural_zero,1561.1023657819526,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Bourgogne-Franche-Comté,Metropolitan grouping,1464.2744017024504,16.807925337572005,43640,422785,32162147.7,4,4,4,3,-96.82796407950218,1.1066316469789093
2025,24,Centre-Val de Loire,6,0,0,1395.3654435173,1395.3654435173,1395.3654435173,point_complete_observed,1451.4469274519893,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Centre-Val de Loire,Metropolitan grouping,1395.3654435173,18.998877487629294,37575,353167,26766449.16,5,6,5,4,-56.08148393468923,1.0545534068625941
2025,93,Provence-Alpes-Côte d'Azur and Corse,6,0,0,1379.9660513528881,1379.9660513528881,1379.9660513528881,point_complete_observed,1469.7586808460467,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Provence-Alpes-Côte d'Azur/Corse,Metropolitan grouping,1379.9660513528881,18.619683079401472,83272,764655,57234204.86,6,5,6,5,-89.79262949315853,1.0429152503165509
2025,11,Île-de-France,6,0,0,1323.1813907544588,1323.1813907544588,1323.1813907544588,point_complete_observed,1188.3013658640962,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Île-de-France,Metropolitan grouping,1323.1813907544588,15.991243228348795,149392,1323908,97289197.99,7,10,7,6,134.88002489036262,1
2025,28,Normandie,5,1,0,1296.9113895831088,1296.9113895831088,1296.9113895831088,point_with_structural_zero,1342.310507780503,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Normandie,Metropolitan grouping,1296.9113895831088,18.546806811175244,44999,439079,33470274.8,8,7,8,7,-45.39911819739427,0.9801463341648334
2025,75,Nouvelle-Aquitaine,6,0,0,1229.8964567024368,1229.8964567024368,1229.8964567024368,point_complete_observed,1339.2519792817948,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Nouvelle-Aquitaine,Metropolitan grouping,1229.8964567024368,20.60007939348134,83386,819360,62199088.72,9,8,9,8,-109.35552257935797,0.92949951177983825
2025,76,Occitanie,6,0,0,1209.0609808021532,1209.0609808021532,1209.0609808021532,point_complete_observed,1279.4635128527357,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Occitanie,Metropolitan grouping,1209.0609808021532,20.02498227395515,79663,757918,57072862.02,10,9,10,9,-70.40253205058252,0.9137530116810093
2025,84,Auvergne-Rhône-Alpes,6,0,0,1160.7348288101084,1160.7348288101084,1160.7348288101084,point_complete_observed,1149.9715898103204,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Auvergne-Rhône-Alpes,Metropolitan grouping,1160.7348288101084,20.189175465782338,95294,912740,69081312.92,11,11,11,10,10.763238999787973,0.8772303154507594
2025,52,Pays de la Loire,6,0,0,1093.1302387671137,1093.1302387671137,1093.1302387671137,point_complete_observed,1101.1322171495533,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Pays de la Loire,Metropolitan grouping,1093.1302387671137,18.513043439399656,43553,431559,32958038.07,12,12,12,11,-8.001978382439574,0.8261378571412848
2025,53,Bretagne,4,2,0,868.1991852659177,868.1991852659177,868.1991852659177,point_with_structural_zero,915.033053258107,2025,France_entire,001,002,sap-v1.0-amendments-001-002,Bretagne,Metropolitan grouping,868.1991852659177,23.29426282965239,32023,311877,23795984.63,13,13,13,12,-46.83386799218931,0.6561452506302882
